,0,1,2,3,4,5,6,7,8,9,10,11
0,0.9999999,0.6608968,0.49160397,0.57181007,0.58828354,0.09186194,0.15653092,0.26433557,0.39576703,0.581043,0.6755215,0.5273457
1,0.6608968,1.0,0.5679563,0.5656142,0.6042652,0.12451342,0.12696084,0.2699293,0.41297144,0.63503134,0.5862004,0.48812544
2,0.49160397,0.5679563,1.0,0.4941323,0.4865757,0.10242376,0.16246685,0.27776188,0.3671916,0.570634,0.464635,0.4640736
3,0.57181007,0.5656142,0.4941323,1.0000002,0.47911063,0.10400541,0.14140373,0.3619619,0.4775214,0.70906335,0.5681418,0.63225067
4,0.58828354,0.6042652,0.4865757,0.47911063,0.99999994,0.104325086,0.21585146,0.13584413,0.34566325,0.5358368,0.51259935,0.46625125
5,0.09186194,0.12451342,0.10242376,0.10400541,0.104325086,1.0000002,0.10289804,0.13375734,0.19065566,0.05227279,0.06802182,0.019701414
6,0.15653092,0.12696084,0.16246685,0.14140373,0.21585146,0.10289804,1.0,0.17197648,0.16213275,0.17295024,0.14455909,0.29320756
7,0.26433557,0.2699293,0.27776188,0.3619619,0.13584413,0.13375734,0.17197648,1.0,0.25364405,0.31923592,0.26787782,0.3095061
8,0.39576703,0.41297144,0.3671916,0.4775214,0.34566325,0.19065566,0.16213275,0.25364405,1.0000002,0.3739318,0.39206958,0.51182526
9,0.581043,0.63503134,0.570634,0.70906335,0.5358368,0.05227279,0.17295024,0.31923592,0.3739318,1.0,0.6241821,0.6391916
10,0.6755215,0.5862004,0.464635,0.5681418,0.51259935,0.06802182,0.14455909,0.26787782,0.39206958,0.6241821,0.99999994,0.56937563
11,0.5273457,0.48812544,0.4640736,0.63225067,0.46625125,0.019701414,0.29320756,0.3095061,0.51182526,0.6391916,0.56937563,1.0000002
